Be553,Be95,G. C,AynCDM16,AynCDM18,Mo417,G. A,G. B,CaH156,CaH160,StPS26,TelK104,Vi7,NH3,Bi583,Ev1,StP4 (IOM),Ye72a,StPSnd104,LoA16,Pa425,NY2941/2,Pr2,MosRSL78,NY2941/3,Lo6673,StPS1
<persName><forename>pwlws</forename></persName>,<persName><forename>pwlws</forename></persName>,<persName><status>ʔbʔ</status> <forename>mrqws</forename></persName>,"<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>","<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <virtue>ʔmʔ mbrktʔ</virtue></persName>",<persName><forename>pwlws</forename></persName>,"<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait> <virtue>ʔmh dmšyḥʔ prwqn wmḥynn</virtue></persName>",<persName><forename>pwlws</forename></persName>,<persName><forename>pwlws</forename></persName>,"<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait></persName>",<persName><status>mry</status> <forename>tʔwmʔ</forename> <virtue>šlyḥʔ</virtue></persName>,<persName><forename>pwlws</forename></persName>,"<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait></persName>",<persName><forename>pwlws</forename></persName>,<persName><status>mry</status> <forename>šmʕwn</forename> <addName>kʔpʔ</addName></persName>,"<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait></persName>","<persName ref=""ʔnṭwnys""><forename ref=""ʔnṭwnys"">ʔwnṭwnys</forename></persName>","<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait> <virtue>btwltʔ</virtue> <trait>qdyštʔ</trait> <virtue>ʔmʔ dmšyḥʔ wprwqn wmḥynn</virtue></persName>","<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait> <virtue>ʔmh dmšyḥʔ mrn wprwqn</virtue></persName>","<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait> <virtue>ʔmh dmšyḥʔ prwqn wmḥynn</virtue></persName>",<persName><forename>pwlws</forename></persName>,<persName><forename>pwlws</forename></persName>,"<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait></persName>",<persName><forename>pwlws</forename></persName>,<persName><forename>pṭrws</forename></persName>,"<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait></persName>"
"<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>","<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>","<persName ref=""srpywn""><status>ʔbʔ</status> <forename>srpywn</forename></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ḥzyʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔyzgdh dmšyḥʔ</virtue></persName>,"<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><virtue>ʔyzgdʔ</virtue> <status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>","<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>","<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><forename>mty</forename></persName>,"<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>","<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>",<persName><status>mry</status> <forename>ʔndrʔws</forename></persName>,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><forename>pwlws</forename></persName>,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>","<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>","<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><forename>ʔnṭynws</forename></persName>,"<persName ref=""pwlws""><forename>pwlws</forename></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue> <virtue>ʔyzgdh dmšyḥʔ</virtue></persName>"
"<persName ref=""mqrys""><forename>mqrys</forename></persName>","<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>",<persName><status>ʔbʔ</status> <forename>dwbynʔ</forename></persName>,"<persName ref=""šmwny wbnyh""><status>mrty</status> <forename>šmwny</forename> w<personGrp>šbʕʔ bnyh</personGrp></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,<persName><forename>pṭrws</forename></persName>,"<persName ref=""mqrys""><forename>mqrys</forename></persName>",<persName><forename>pṭrws</forename></persName>,"<persName ref=""mqrys""><forename>mqrys</forename></persName>","<persName ref=""mqrys""><forename>mqrys</forename></persName>",<persName><forename>pṭrws</forename></persName>,<persName><forename>mrqws</forename></persName>,"<persName ref=""mqrys""><forename>mqrys</forename></persName>",<persName><forename>pṭrws</forename></persName>,"<persName ref=""mqrys""><forename>mqrys</forename></persName>",<persName><status>mry</status> <forename>bby</forename></persName>,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>","<persName ref=""mqrys""><forename>mqrys</forename></persName>",<persName><forename>pṭrws</forename></persName>,<persName><forename>pṭrws</forename> <virtue>šlyḥʔ</virtue></persName>,<persName><forename>pṭrws</forename></persName>,"<persName ref=""mqrys""><forename>mqrys</forename></persName>","<persName ref=""mqrys""><forename>mqrys</forename></persName>",<persName><forename>pṭrws</forename></persName>,"<persName ref=""mqrys""><forename>mqrys</forename></persName>","<persName ref=""ʔnṭwnys""><forename>ʔnṭwnys</forename></persName>",
"<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>","<persName ref=""mqrys""><forename>mqrys</forename></persName>",<persName><status>ʔbʔ</status> <forename>pwlws</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,"<persName ref=""pwlws""><forename>pwlws</forename></persName>","<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>","<persName ref=""pwlws""><forename>pwlws</forename></persName>","<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>","<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>","<persName ref=""pwlws""><forename>pwlws</forename></persName>",<persName><forename>lwqʔ</forename></persName>,"<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>",<persName><forename>pwlws</forename></persName>,"<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>",<status>mry</status>,<persName><forename>pṭrws</forename></persName>,"<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>","<persName ref=""pwlws""><forename>pwls</forename></persName>",<persName><forename>pwlws</forename> <virtue>šlyḥʔ</virtue></persName>,<persName><forename>pwlws</forename></persName>,"<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>","<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>",<persName><forename>pwlws</forename></persName>,"<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>","<persName ref=""mqrys""><forename>mqrys</forename></persName>",
"<persName ref=""pwlʔ šmšṭyʔ""><forename>pwlʔ</forename> <residence>šmšṭyʔ</residence></persName>","<persName ref=""pwlʔ šmšṭyʔ""><forename>pwlʔ</forename> <residence>šmšṭyʔ</residence></persName>",<persName><status>ʔbʔ</status> <forename>mwšʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mlkʔ</addName></persName>,<persName><forename>mty</forename></persName>,"<persName ref=""srpywn""><forename>srpywn</forename></persName>",<persName><forename>mty</forename></persName>,"<persName ref=""srpywn""><forename>srpywn</forename></persName>","<persName ref=""srpywn""><forename>srpywn</forename></persName>","<persName ref=""mry šmʕwn br ṣbʕʔ""><status>mry</status> <forename>šmʕwn</forename> <addName>br ṣbʕʔ</addName></persName>",<persName><forename>ywḥnn</forename></persName>,"<persName ref=""srpywn""><forename>srpywn</forename></persName>","<persName ref=""mry šmʕwn br ṣbʕʔ""><status>mry</status> <forename>šmʕwn</forename> <addName>br ṣbʕʔ</addName></persName>","<persName ref=""srpywn""><forename>srpywn</forename></persName>",<persName><forename>ywḥnn</forename></persName>,<persName><forename>pwlws</forename></persName>,"<persName ref=""srpywn""><forename>srpywn</forename></persName>",<persName><forename>mty</forename></persName>,<persName><forename>mty</forename></persName>,<persName><status>mry</status> <forename>tʔwmʔ</forename></persName>,"<persName ref=""pwlʔ šmšṭyʔ""><status>mry</status> <forename>pwlʔ</forename> <residence>šmšṭyʔ</residence></persName>","<persName ref=""pwlʔ šmšṭyʔ""><status>mry</status> <forename>pwlʔ</forename> <residence>šmšṭyʔ</residence></persName>",<persName><forename>mty</forename></persName>,"<persName ref=""srpywn""><forename>srpywn</forename></persName>","<persName ref=""ʔrsnys""><forename>ʔrsnys</forename></persName>",
<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,<persName><status>ʔbʔ</status> <forename>tmys</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,<persName><forename>mrqws</forename></persName>,"<persName ref=""pwlʔ šmšṭyʔ""><forename>pwlʔ</forename> <residence>šmšṭyʔ</residence></persName>",<persName><forename>mrqws</forename></persName>,"<persName ref=""pwlʔ šmšṭyʔ""><forename>pwlʔ</forename> <residence>šmšṭyʔ</residence></persName>","<persName ref=""pwlʔ šmšṭyʔ""><forename>pwlʔ</forename> <residence>šmšṭyʔ</residence></persName>",<persName><status>mry</status> <forename>mrwgylyn</forename></persName>,"<persName ref=""mry ʔdy šlyḥʔ""><status>mry</status> <forename>ʔdy</forename> <virtue>šlyḥʔ</virtue></persName>","<persName ref=""pwlʔ šmšṭyʔ""><status>mry</status> <forename>pwlʔ</forename> <residence>šmšṭyʔ</residence></persName>","<persName ref=""mry ʔbʔ qtwlyqʔ""><status>mry</status> <forename>ʔbʔ</forename> <virtue>qtwlyqʔ</virtue></persName>","<persName ref=""pwlʔ šmšṭyʔ""><status>mry</status> <forename>pwlʔ</forename> <residence>šmšṭyʔ</residence></persName>",<persName><forename>yʕqwb</forename></persName>,"<persName ref=""mry šmʕwn br ṣbʕʔ""><status>mry</status> <forename>šmʕwn</forename> <addName>br sbʕʔ</addName></persName>",<persName><status>ʔbʔ</status> <forename>ʔšʕyʔ</forename></persName>​,<persName><forename>mrqws</forename></persName>,<persName><forename>mrqws</forename></persName>,"<persName ref=""mry ʔdy šlyḥʔ""><status>mry</status> <forename>ʔdy</forename></persName>",<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>mrqws</forename></persName>,"<persName ref=""pwlʔ šmšṭyʔ""><status>mry</status> <forename>pwlʔ</forename> <residence>šmšṭyʔ</residence></persName>","<persName ref=""srpywn""><forename>srpywn</forename></persName>",
<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,<persName><status>ʔbʔ</status> <forename>srgys</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwryʔ</virtue></persName>,<persName><forename>lwqʔ</forename></persName>,<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>lwqʔ</forename></persName>,<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,"<persName ref=""mry ʔbʔ qtwlyqʔ""><status>mry</status> <forename>ʔbʔ</forename> <virtue>qtwlyqʔ</virtue> <trait>qdyšʔ</trait></persName>","<persName ref=""mry mʔry šlyḥʔ""><status>mry</status> <forename>mʔry</forename> <virtue>šlyḥʔ</virtue></persName>",<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,"<persName ref=""ʔnsymws brt mlkʔ""> <forename>ʔnsymws</forename> <addName>brt mlkʔ</addName></persName>",<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>ʔndrʔws</forename></persName>,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,"<persName ref=""pwlʔ šmšṭyʔ""><status>ʔbʔ</status> <forename>pwlʔ</forename> <residence>šmšṭyʔ</residence></persName>",<persName><forename>lwqʔ</forename></persName>,<persName><forename>lwqʔ</forename></persName>,"<persName ref=""mry mʔry šlyḥʔ""><status>mry</status> <forename>mʔry</forename></persName>",<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>lwqʔ</forename></persName>,<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,"<persName ref=""pwlʔ šmšṭyʔ""><status>mry</status> <forename>pwlʔ</forename> pwlʔ <residence>šmšṭyʔ</residence></persName>",
<persName><status>mry</status> <forename>ywḥnn</forename> <trait>zʕwrʔ</trait></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>zʕwrʔ</trait></persName>,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglṣsṭʔ</virtue></persName>",,"<persName ref=""mry ywḥnn ṭwryʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>",<persName><forename>ywḥnn</forename></persName>,<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>ywḥnn</forename></persName>,<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,"<persName ref=""ʔnsymws brt mlkʔ""> <forename>ʔnsymws</forename> <addName>brtʔ mlkʔ</addName></persName>",<persName><status>mry</status> <forename>dywdwrws</forename></persName>,<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>zynnʔ</virtue></persName>,<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>pylypws</forename></persName>,"<persName ref=""mry ʔbʔ qtwlyqʔ""><status>mry</status> <forename>ʔbʔ</forename> <virtue>qtwlyqʔ</virtue></persName>",<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>ywḥnn</forename></persName>,<persName><forename>ywḥnn</forename></persName>,<persName><forename>ʔsṭpnws</forename> <virtue>bwkrʔ dshdʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>zʕwrʔ</trait></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>zʕwrʔ</trait></persName>,<persName><forename>ywḥnn</forename></persName>,<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,
"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>štyʔ</residence></persName>,<persName><status>mry</status> <forename>tʔwmʔ</forename> <virtue>šlyḥʔ</virtue></persName>,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><status>mry</status> <forename>tʔwmʔ</forename> <virtue>šlyḥʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>zʕwrʔ</trait></persName>,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ylwmyʔ</residence></persName>,<persName><status>mry</status> <forename>tʔdwrws</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>zʕwrʔ</trait></persName>,"<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>nḥlyʔ</residence></persName>",rasura,<persName><forename>brtwlmy</forename></persName>,"<persName ref=""ʔnsymws brt mlkʔ""> <forename>ʔnsymws</forename> <addName>brt mlkʔ</addName></persName>",<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,<persName><status>mry</status> d<forename>tʔwmʔ</forename> <virtue>šlyḥʔ</virtue></persName>,<persName><forename>ʔsṭpnws</forename> <virtue>bwkrʔ dshdʔ</virtue></persName>,<persName><status>mry</status> <forename>dywdwrws</forename></persName>,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><status>mry</status> <forename>tʔwmʔ</forename> <virtue>šlyḥʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>zʕwrʔ</trait></persName>,<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,
<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,<persName><status>mry</status> <forename>ywḥnn</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔbylʔ</virtue></persName>,,"<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>qyqlyʔ</residence></persName>","<persName ref=""mry ʔdy šlyḥʔ""><status>mry</status> <forename>ʔdy</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,<persName><forename>ʔsṭpnws</forename> <virtue>bwkrʔ dshdʔ</virtue></persName>,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>","<persName ref=""mry nsṭwrys""><status>mry</status> <forename>nsṭwrys</forename></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",<persName><status>mn</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName> <!-- вместо mry mn-->,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>zʕwrʔ</trait></persName>,<persName><forename>mty</forename> <virtue>mksʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ylwmyʔ</residence></persName>,"<persName ref=""ʔnsymws brt mlkʔ""> <forename>ʔnsymws</forename> <addName>brt mlkʔ</addName></persName>","<persName ref=""mry ʔdy šlyḥʔ""><status>mry</status> <forename>ʔdy</forename></persName>",<persName><forename>dywdwrws</forename></persName> <!-- r above the line-->,<persName><status>mry</status> <forename>tʔdwrws</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,"<persName ref=""mry mʔry šlyḥʔ""><status>mry</status> <forename>mʔry</forename></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>","<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",
